682	Texas	10D
683	Ontario	10D
684	American~Samoa
689	Florida	10D
701	North~Dakota
702	Nevada	10D
703	Virginia	10D
704	North~Carolina	10D
705	Ontario	10D
706	Georgia	10D
707	California	10D
708	Illinois	10D
709	Newfoundland~and~Labrador
712	Iowa
713	Texas	10D
714	California	10D
715	Wisconsin	10D
716	New~York	10D
717	Pennsylvania	10D
718	New~York	10D
719	Colorado	10D
720	Colorado	10D
721	Sint~Maarten
724	Pennsylvania	10D
725	Nevada	10D
726	Texas	10D
727	Florida
728	Florida	10D	ab 2023-03-10
730	Illinois	10D	ab 2023-07-07
731	Tennessee	10D
732	New~Jersey	10D
734	Michigan
737	Texas	10D
740	Ohio	10D
742	Ontario	10D
743	North~Carolina	10D
747	California	10D
753	Ontario	10D
754	Florida	10D
757	Virginia	10D
758	Saint~Lucia
760	California	10D
762	Georgia	10D
763	Minnesota
765	Indiana
767	Dominica
769	Mississippi	10D
770	Georgia	10D
771	Washington,~D.\,C.	10D
772	Florida
773	Illinois	10D
774	Massachusetts	10D
775	Nevada	10D
778	British~Columbia	10D
779	Illinois	10D
780	Alberta	10D
781	Massachusetts	10D
782	Nova~Scotia,~Prince~Edward~Island	10D
784	Saint~Vincent~and~the~Grenadines
785	Kansas	10D
786	Florida	10D
787	Puerto~Rico	10D
801	Utah	10D
802	Vermont	10D
803	South~Carolina	10D
804	Virginia	10D
805	California	10D
806	Texas	10D
807	Ontario
808	Hawaii	10D
809	Dominican~Republic	10D
810	Michigan	10D
812	Indiana	10D
813	Florida	10D
814	Pennsylvania	10D
815	Illinois	10D
816	Missouri	10D
817	Texas	10D
818	California	10D
819	Quebec	10D
820	California	10D
825	Alberta	10D
826	Virginia	10D	ab 2022-06-14
828	North~Carolina
829	Dominican~Republic	10D
830	Texas	10D
831	California
832	Texas	10D
835	Pennsylvania	10D	ab 2022-09-02
838	New~York	10D
839	South~Carolina	10D
840	California	10D
843	South~Carolina	10D
845	New~York	10D
847	Illinois	10D
848	New~Jersey	10D
849	Dominican~Republic	10D
850	Florida	10D
854	South~Carolina	10D
856	New~Jersey	10D
857	Massachusetts	10D
858	California	10D
859	Kentucky	10D
860	Connecticut	10D
861	Illinois	10D	ab 2023-02-24
862	New~Jersey	10D
863	Florida
864	South~Carolina
865	Tennessee	10D
867	Yukon,~Northwest~Territories,~Nunavut
868	Trinidad~and~Tobago
869	Saint~Kitts~and~Nevis
870	Arkansas
872	Illinois	10D
873	Quebec	10D
876	Jamaica
878	Pennsylvania	10D
901	Tennessee
902	Nova~Scotia,~Prince~Edward~Island	10D
903	Texas	10D
904	Florida
905	Ontario	10D
906	Michigan	10D
907	Alaska	10D
908	New~Jersey	10D
909	California	10D
910	North~Carolina	10D
912	Georgia	10D
913	Kansas
914	New~York	10D
915	Texas	10D
916	California	10D
917	New~York	10D
918	Oklahoma	10D
919	North~Carolina	10D
920	Wisconsin	10D
925	California	10D
928	Arizona	10D
929	New~York	10D
930	Indiana	10D
931	Tennessee
934	New~York	10D
936	Texas
937	Ohio	10D
938	Alabama	10D
939	Puerto~Rico	10D
940	Texas	10D
941	Florida	10D
943	Georgia	10D
945	Texas	10D
947	Michigan	10D
948	Virginia	10D
949	California	10D
951	California	10D
952	Minnesota	10D
954	Florida	10D
956	Texas
959	Connecticut	10D
970	Colorado	10D
971	Oregon	10D
972	Texas	10D
973	New~Jersey	10D
975	Missouri	10D	ab 2023-02-10
978	Massachusetts	10D
979	Texas
980	North~Carolina	10D
983	Colorado	10D
984	North~Carolina	10D
985	Louisiana
986	Idaho	10D
989	Michigan	10D
